model,stack,device,flags,load_s,prefill_tps,decode_tps,gbps
gpt-oss:20b,tinygrad,METAL,PYTHONPATH=. 2026-08-19w4 T4.13-fix,3.499,41.80,10.98,38.17
gpt-oss:20b,tinygrad,METAL,PYTHONPATH=. 2026-08-19w4 T4.13-fix,2.558,41.80,10.96,38.12
gpt-oss:20b,tinygrad,METAL,PYTHONPATH=. 2026-08-19w4 T4.13-fix,2.618,41.79,10.97,38.13
gpt-oss:20b,tinygrad,METAL,JITBEAM=2 IGNORE_BEAM_CACHE=1 PYTHONPATH=. 2026-08-19w4 T4.13-fix,2.487,45.63,15.52,63.26
qwen3:8b,tinygrad,METAL,PYTHONPATH=. 2026-08-19w4 T4.12/T4.13-stability,2.360,14.98,7.39,46.87
qwen3:8b,tinygrad,METAL,PYTHONPATH=. 2026-08-19w4 T4.12/T4.13-stability,2.108,14.98,7.38,46.80
qwen3:8b,tinygrad,METAL,PYTHONPATH=. 2026-08-19w4 T4.12/T4.13-stability,2.129,14.97,7.35,46.66
qwen3:8b,tinygrad,METAL,JITBEAM=2 IGNORE_BEAM_CACHE=1 PYTHONPATH=. 2026-08-19w4 T4.12/T4.13-stability,2.100,47.29,11.64,76.99
qwen3:8b,llamacpp,METAL,-r 3 2026-08-19w4 reference,,357.11,27.07,
llama3.2:1b,tinygrad,METAL,PYTHONPATH=. 2026-08-19w4 T4.13-non-mxfp4-check,0.815,61.47,21.72,25.43
