model,stack,device,flags,load_s,prefill_tps,decode_tps,gbps
llama3.2:1b,tinygrad,NV:NAK,,5.007,55.31,7.13,8.35
llama3.2:1b,tinygrad,NV:NAK,JITBEAM=2,4.909,341.01,96.06,112.48
llama3.2:1b,tinygrad,NV,PARALLEL=2,4.924,142.52,28.16,32.97
qwen3:8b,tinygrad,NV:NAK,,6.536,16.51,3.72,23.63
qwen3:8b,tinygrad,NV:NAK,JITBEAM=2,6.491,66.66,31.44,197.01
gpt-oss:20b,tinygrad,NV:NAK,,8.608,78.69,7.42,25.80
gpt-oss:20b,tinygrad,NV:NAK,JITBEAM=2,8.625,117.29,26.81,105.33
llama3.2:1b,tinygrad,NV,JITBEAM=2 PARALLEL=6,4.922,507.32,149.12,170.63
qwen3:8b,tinygrad,NV,,6.771,22.58,9.99,63.37
qwen3:8b,tinygrad,NV,JITBEAM=2 PARALLEL=6,6.473,118.88,46.87,287.79
gpt-oss:20b,tinygrad,NV,,8.648,111.69,18.77,65.28
gpt-oss:20b,tinygrad,NV,JITBEAM=2 PARALLEL=6,8.653,207.62,60.85,243.20
olmoe,tinygrad,METAL,TD.3-beam row1 all-METAL no-BEAM,1.395,160.95,28.21,45.65
olmoe,tinygrad,METAL,JITBEAM=2 PARALLEL=6 TD.3-beam row2 all-METAL JITBEAM=2 PARALLEL=6,1.138,220.14,63.81,74.26
olmoe,tinygrad,NV,TD.3-beam row3 all-NV no-BEAM,5.788,228.85,44.82,72.55
olmoe,tinygrad,NV,JITBEAM=2 PARALLEL=6 TD.3-beam row4 all-NV JITBEAM=2 PARALLEL=6,5.717,670.77,115.51,117.07
olmoe,tinygrad,NV,"device_map=METAL,experts:NV TD.3-beam row5 split METAL,experts:NV no-BEAM",8.601,192.41,41.26,135.05
olmoe,tinygrad,NV,"JITBEAM=2 PARALLEL=6 device_map=METAL,experts:NV TD.3-beam row6 split METAL,experts:NV JITBEAM=2 PARALLEL=6 HEADLINE",8.120,208.06,43.84,64.41
