run,search_id,ast_key,num_candidates_timed,applied_opts,final_tm_ms,wall_s
A,1,"b'\xfc!\xa0Z\xde\x9c\xc0\x90\x0b{\xa1\x07#\xd2\x9c\x19)d\xc0NC\xb7\xe9\xdf\x82\xcc\xf4\x8f\xf9,\xde\xb0'",280,[Opt(op=OptOps.LOCAL; axis=4; arg=16); Opt(op=OptOps.LOCAL; axis=3; arg=16); Opt(op=OptOps.UPCAST; axis=4; arg=4); Opt(op=OptOps.UPCAST; axis=6; arg=2)],,38.041
A,2,b'\xdf>\x07W\xce\x16\xf1\xa9A\\I\x93\x0f\xa0\x84\xb01\xc9\x0f\x8a\x15\xf1\xf2\xe1\xa8\xaf\xbd\nDDg\xcb',88,[Opt(op=OptOps.GROUP; axis=0; arg=16); Opt(op=OptOps.LOCAL; axis=0; arg=8); Opt(op=OptOps.UNROLL; axis=0; arg=4)],,2.833
A,3,b'k\x8d\xdb\xa9K\x99^{n\xbb\xf1SR\x06\r\xb1\x8d\x1c\xdd\xc2\xdaB*V\x8c\xb5\x1c\xee0\xac^\xfa',34,[Opt(op=OptOps.GROUP; axis=0; arg=16); Opt(op=OptOps.GROUP; axis=0; arg=4)],,0.587
A,4,b'0\xaeI\xea\xfaI\xa9\xec\xc8\x9f\x8b4\xbd\xd2\xcey\xd8K\x845\x02\x9aR\xac\xa2UwQA\x97\xbc\xba',223,[Opt(op=OptOps.LOCAL; axis=0; arg=8); Opt(op=OptOps.GROUP; axis=1; arg=0); Opt(op=OptOps.UNROLL; axis=2; arg=0); Opt(op=OptOps.UPCAST; axis=0; arg=2); Opt(op=OptOps.GROUP; axis=0; arg=8); Opt(op=OptOps.UNROLL; axis=3; arg=4); Opt(op=OptOps.UPCAST; axis=0; arg=4)],,51.526
A,5,b'kw\x98\x19\x17\x0c_%\xa3\xef\xfb\x16\xd4\xc1[\xa4\x1aJ\xff\xda\xe2\xa5TC\xfa\xbe$\xd9\xc7\xbfT\r',229,[Opt(op=OptOps.GROUP; axis=0; arg=8); Opt(op=OptOps.LOCAL; axis=0; arg=8); Opt(op=OptOps.GROUP; axis=1; arg=0); Opt(op=OptOps.UPCAST; axis=0; arg=2); Opt(op=OptOps.UPCAST; axis=2; arg=2); Opt(op=OptOps.UNROLL; axis=3; arg=0); Opt(op=OptOps.UNROLL; axis=3; arg=4)],,35.882
A,6,"b'\xd5X#X\xb1\x7f\xd6\x82B\xbb<v\xe7\x0b1\x10\x04\xa1\x81\xc9H,-?RI$\x00\xee\xcc\xd4y'",63,[Opt(op=OptOps.GROUPTOP; axis=0; arg=16); Opt(op=OptOps.UNROLL; axis=1; arg=4)],,1.558
A,7,b'\\\xcd\x18\xe2\xb0\x95\xb9\x94\xf1c\x12\xd6\x0b\x1a-\xf1F\x1a3)\x95Seu\x1d\xf0\\\x90\xbcv\x12\xd1',66,[Opt(op=OptOps.GROUPTOP; axis=0; arg=16); Opt(op=OptOps.LOCAL; axis=0; arg=4); Opt(op=OptOps.UNROLL; axis=1; arg=4)],,1.945
A,8,b'\xddz\xca\x92cF\x8af\n\xd7~~X\x1e\xc5\xc3\xeaZ\x14\xb4z\x1d\xfb\x1a.\xfdA\xc19g\xe6\xda',75,[Opt(op=OptOps.LOCAL; axis=2; arg=16); Opt(op=OptOps.UPCAST; axis=1; arg=0)],,3.213
A,9,b'\x98\xc6\xe1\xe8\xe9\x1b\xdb/\xa3\xe8_\xaa\xbe\xc9\xb7zLMx\xb9\xc2\xdc\x98eH\x85\xd1\x85\x1eQ\x98\xcf',402,[Opt(op=OptOps.LOCAL; axis=3; arg=16); Opt(op=OptOps.GROUPTOP; axis=0; arg=16); Opt(op=OptOps.UPCAST; axis=0; arg=0); Opt(op=OptOps.UNROLL; axis=2; arg=0); Opt(op=OptOps.UNROLL; axis=3; arg=4); Opt(op=OptOps.UNROLL; axis=3; arg=4); Opt(op=OptOps.GROUP; axis=2; arg=0); Opt(op=OptOps.SWAP; axis=0; arg=1); Opt(op=OptOps.UPCAST; axis=3; arg=2)],,106.651
A,10,b'\x16\xd8v\x05\x80\xdfY\xc9\xb6<)\x115\x0e&o\xfb\xd7\xf3M\xc3\x96\x10\x9f^\x10\xd6\xb6\x96\xd1e\xa2',106,[Opt(op=OptOps.GROUPTOP; axis=0; arg=16); Opt(op=OptOps.LOCAL; axis=0; arg=4); Opt(op=OptOps.UNROLL; axis=1; arg=0); Opt(op=OptOps.SWAP; axis=0; arg=1)],,9.568
A,11,b'\x06\xd6\x8e\xf2\x16\xd8\x11v\xe3kE\x07\xe8\xdd\xb8\xbf\xa3\xb5\xbc<\xe6\xd5\xf8\xec^\xea0\xf2\xa1\x07\xd6\x18',21,[Opt(op=OptOps.LOCAL; axis=0; arg=2)],,0.839
A,12,b'\xd5\xab\xc5\\\xf0\xaa\xbbxMSI\xbcHTMtf|a\x9a\x8b&h\xce2VxZ\xe7v\xeb\x15',21,[Opt(op=OptOps.LOCAL; axis=0; arg=4)],,0.507
A,13,b'\x7f\x1b\xc7\xd1\xce\x9d\xdf7\x02\xc7\x90\x9eh\xa6\xf3\x1e\xc0\x12c\x88\xe5n\xb75\t\x07\x90NC\x16\xffc',16,[Opt(op=OptOps.LOCAL; axis=0; arg=32)],,0.612
A,14,b'\x9d\x1c\xd9\x8d\xd4\x1d.GiP\xa5\xb6\xe6\xa8\xd9\xc4\x08gUM\x08\\@\xa8&\xf4+\xe1\x9eQ\x11\xd8',139,[Opt(op=OptOps.LOCAL; axis=1; arg=16); Opt(op=OptOps.UPCAST; axis=0; arg=2); Opt(op=OptOps.SWAP; axis=0; arg=1); Opt(op=OptOps.LOCAL; axis=1; arg=2)],,6.219
A,15,"b' l\xce\xa2t\xcb\xbf\x7f\xb6\xc7\xafEA\xb0\x98r\xb7\x95""\x05\xd9Vba\xd0WYc;JOY'",128,[Opt(op=OptOps.GROUP; axis=0; arg=8); Opt(op=OptOps.UNROLL; axis=4; arg=0); Opt(op=OptOps.GROUP; axis=1; arg=0); Opt(op=OptOps.UPCAST; axis=0; arg=4); Opt(op=OptOps.UNROLL; axis=3; arg=0)],,20.692
